coin,blockchain,time_range,whale_transaction_count,total_volume
BNB,BSC,2025-07-22 21:00,2,1933.16486213
ETH,Ethereum,2025-07-22 21:00,16,47487.18550408968
BNB,BSC,2025-07-22 20:00,6,9589.4852492853
ETH,Ethereum,2025-07-22 20:00,30,101642.58975279976
BNB,BSC,2025-07-22 19:00,7,11878.2595420485
ETH,Ethereum,2025-07-22 19:00,21,111195.8481582807
BNB,BSC,2025-07-22 18:00,3,4392.9999805034
ETH,Ethereum,2025-07-22 18:00,16,54517.19586325866
BNB,BSC,2025-07-22 17:00,115,162881.84968421416
ETH,Ethereum,2025-07-22 17:00,42,220448.1425188936
BNB,BSC,2025-07-22 16:00,6,6715.0342184985
ETH,Ethereum,2025-07-22 16:00,40,237997.9490362043
BNB,BSC,2025-07-22 15:00,4,3407.1010484580333
ETH,Ethereum,2025-07-22 15:00,47,290336.437312997
BNB,BSC,2025-07-22 14:00,10,22262.3713974789
ETH,Ethereum,2025-07-22 14:00,35,110676.54225918798
BNB,BSC,2025-07-22 13:00,3,2684.0474210097
ETH,Ethereum,2025-07-22 13:00,44,217754.1368410884
BNB,BSC,2025-07-22 12:00,8,6860.9860715985005
ETH,Ethereum,2025-07-22 12:00,27,86246.93832093383
BNB,BSC,2025-07-22 11:00,14,14025.0992503444
ETH,Ethereum,2025-07-22 11:00,14,51877.24914728022
BNB,BSC,2025-07-22 10:00,13,12109.917566695
ETH,Ethereum,2025-07-22 10:00,12,19700.946740212297
BNB,BSC,2025-07-22 09:00,16,13027.26074802
ETH,Ethereum,2025-07-22 09:00,17,45585.06321392651
BNB,BSC,2025-07-22 08:00,20,21010.434272041697
ETH,Ethereum,2025-07-22 08:00,23,85661.29529882761
BNB,BSC,2025-07-22 07:00,10,8926.5311003697
ETH,Ethereum,2025-07-22 07:00,19,48199.7133886121
BNB,BSC,2025-07-22 06:00,6,5073.1464866605
ETH,Ethereum,2025-07-22 06:00,11,19073.23439605403
BNB,BSC,2025-07-22 05:00,7,12099.38528532923
ETH,Ethereum,2025-07-22 05:00,19,47338.92489720037
BNB,BSC,2025-07-22 04:00,3,2589.93875818
ETH,Ethereum,2025-07-22 04:00,11,34132.661444400896
BNB,BSC,2025-07-22 03:00,7,12333.638571120002
ETH,Ethereum,2025-07-22 03:00,15,24872.59409007636
BNB,BSC,2025-07-22 02:00,4,3604.766233313672
ETH,Ethereum,2025-07-22 02:00,12,33078.31798124562
ETH,Ethereum,2025-07-22 01:00,17,48108.28027935896
BNB,BSC,2025-07-22 00:00,5,3562.7119048263003
ETH,Ethereum,2025-07-22 00:00,18,33726.90021232035
BNB,BSC,2025-07-21 23:00,3,1946.87708837
ETH,Ethereum,2025-07-21 23:00,10,38538.95724776348
ETH,Ethereum,2025-07-21 22:00,24,104381.1866256405
ETH,Ethereum,2025-07-21 21:00,18,32753.92895075496
BNB,BSC,2025-07-21 20:00,3,8373.58259576
ETH,Ethereum,2025-07-21 20:00,24,72377.78702608093
BNB,BSC,2025-07-21 19:00,1,803.5877217
ETH,Ethereum,2025-07-21 19:00,25,81238.3212287609
BNB,BSC,2025-07-21 18:00,3,2148.114870916615
ETH,Ethereum,2025-07-21 18:00,24,94760.6483680555
BNB,BSC,2025-07-21 17:00,2,1109.9998431424724
ETH,Ethereum,2025-07-21 17:00,40,276302.08165985794
BNB,BSC,2025-07-21 16:00,2,2093.8749429426
ETH,Ethereum,2025-07-21 16:00,48,296756.85489784274
BNB,BSC,2025-07-21 15:00,6,6671.210418157889
