blockchain,Time_range,whale_transaction_count,total_volume
BSC,2025-07-22 21:00,2,1933.16486213
Ethereum,2025-07-22 21:00,16,47487.18550408968
BSC,2025-07-22 20:00,6,9589.4852492853
Ethereum,2025-07-22 20:00,30,101642.58975279976
BSC,2025-07-22 19:00,7,11878.2595420485
Ethereum,2025-07-22 19:00,21,111195.8481582807
BSC,2025-07-22 18:00,3,4392.9999805033995
Ethereum,2025-07-22 18:00,16,54517.19586325866
BSC,2025-07-22 17:00,115,162881.84968421416
Ethereum,2025-07-22 17:00,42,220448.14251889358
BSC,2025-07-22 16:00,6,6715.0342184985
Ethereum,2025-07-22 16:00,40,237997.9490362043
BSC,2025-07-22 15:00,4,3407.1010484580333
Ethereum,2025-07-22 15:00,47,290336.437312997
BSC,2025-07-22 14:00,10,22262.3713974789
Ethereum,2025-07-22 14:00,35,110676.54225918798
BSC,2025-07-22 13:00,3,2684.0474210097
Ethereum,2025-07-22 13:00,44,217754.13684108833
BSC,2025-07-22 12:00,8,6860.9860715985005
Ethereum,2025-07-22 12:00,27,86246.93832093383
BSC,2025-07-22 11:00,14,14025.0992503444
Ethereum,2025-07-22 11:00,14,51877.24914728022
BSC,2025-07-22 10:00,13,12109.917566695
Ethereum,2025-07-22 10:00,12,19700.946740212297
BSC,2025-07-22 09:00,16,13027.26074802
Ethereum,2025-07-22 09:00,17,45585.06321392651
BSC,2025-07-22 08:00,20,21010.434272041697
Ethereum,2025-07-22 08:00,23,85661.29529882761
BSC,2025-07-22 07:00,10,8926.5311003697
Ethereum,2025-07-22 07:00,19,48199.7133886121
BSC,2025-07-22 06:00,6,5073.1464866605
Ethereum,2025-07-22 06:00,11,19073.23439605403
BSC,2025-07-22 05:00,7,12099.38528532923
Ethereum,2025-07-22 05:00,19,47338.92489720037
BSC,2025-07-22 04:00,3,2589.93875818
Ethereum,2025-07-22 04:00,11,34132.661444400896
BSC,2025-07-22 03:00,7,12333.638571120002
Ethereum,2025-07-22 03:00,15,24872.59409007636
BSC,2025-07-22 02:00,4,3604.7662333136723
Ethereum,2025-07-22 02:00,12,33078.31798124562
Ethereum,2025-07-22 01:00,17,48108.28027935896
BSC,2025-07-22 00:00,5,3562.7119048263003
Ethereum,2025-07-22 00:00,18,33726.90021232035
BSC,2025-07-21 23:00,3,1946.8770883700001
Ethereum,2025-07-21 23:00,10,38538.95724776348
Ethereum,2025-07-21 22:00,24,104381.1866256405
Ethereum,2025-07-21 21:00,18,32753.928950754962
